,total pnl,avg won pnl,avg lost pnl,sharpe_ratio,max_drawdown,win_rate,trade_times
ROC,-61.56680000000165,52.28969999999999,-131.3869000000001,-0.12551982292525368,0.2888487717396752,0.7083333333333334,48.0
MA,1168.3478999999988,123.44786904761908,-45.64162045454549,0.19313030231594078,0.19986058466788265,0.3230769230769231,130.0
SMA,44.05149999999958,157.35750740740735,-102.55124878048778,-0.05834591782973461,0.36752206077037153,0.39705882352941174,68.0
DMA,268.2531999999976,235.71308124999993,-145.96483750000004,-0.018055210455447945,0.3458893835022966,0.4,40.0
MACD,507.2176000000002,64.32623529411765,-73.29104999999998,-0.0029613147058969794,0.08023637548537303,0.68,25.0
TRIX,1914.056099999998,165.1506,-97.39642894736846,0.46096600136123705,0.17078064710148774,0.4722222222222222,72.0
BBI,1064.786799999999,95.20865999999998,-37.791938333333334,0.22976310560968705,0.15643072792841284,0.3684210526315789,95.0
BOLL,1750.5187000000008,347.1326700000001,-107.55050000000001,0.2625851568764225,0.16377451920094216,0.38461538461538464,26.0
Aberration,1748.928300000003,133.37970952380962,-55.37082105263154,0.43236266481474445,0.10702179050286423,0.525,40.0
BIAS,,,,,,,
CCI,,,,,,,
KDJ,,,,,,,
RSI,1256.8023000000003,81.11837419354836,-89.84766428571423,0.206661230731427,0.13682008097589546,0.6888888888888889,45.0
CMO,1137.6240999999975,96.13006428571425,-51.77633536585367,0.1774429147466123,0.24160685970906845,0.4057971014492754,138.0
RHL,1277.6577000000002,77.27737555555561,-99.99200909090915,0.2484772453464729,0.2652112479909377,0.6716417910447762,67.0
KING,931.8850999999981,63.101790909090894,-122.97291333333342,0.18233532457416007,0.23017925380263604,0.7457627118644068,59.0
